asho,Site,URL,Full Street Address,Street address,Suite,City,State,Zip,Group,Brand Facebook URL,Brand Twitter handle,Brand Twitter URL,Newseum front page link KILL/WILL NOT WORK,Daily/Wkly,Frequency,MNG/JRC,"City, State",Marker,lat,lon
25,The Middletown Press,http://middletownpress.com,"386 Main St., 4th Floor, Middletown, CT 06457",386 Main St., 4th Floor,Middletown,CT,6457,CONNECTICUT,https://www.facebook.com/RegisterCitizen?fref=ts#!/middletownpress?fref=ts,@MiddletownPress,https://twitter.com/Middletownpress,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CT_MP.jpg,D,D,JRC,"Middletown, CT",small_blue,41.5615288,-72.6499552
61,The Morning Sun,http://Themorningsun.com,"711 W. Pickard St., Mt. Pleasant, MI 48858",711 W. Pickard St.,,Mt. Pleasant,MI,48858,MICHIGAN,http://bit.ly/MSbrandFB,@MPMorningSun,https://twitter.com/MPMorningSun,,D,D,JRC,"Mt Pleasant, MI",small_blue,43.6117579,-84.7845457
105,The News-Herald,http://news-herald.com,"7085 Mentor Avenue, Willoughby, OH 44094",7085 Mentor Avenue,,Willoughby,OH,44094,OHIO,http://www.facebook.com/pages/Willoughby-OH/The-News-Herald/87827393092,@newsheraldinoh,https://twitter.com/newsheraldinoh,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/OH_NH.jpg,D,D,JRC,"Willoughby, OH",small_blue,41.648038,-81.388859
59,The Oakland Press,http://Theoaklandpress.com,"48 W. Huron Street, Pontiac, MI 48342",48 W. Huron Street,,Pontiac,MI,48342,MICHIGAN,http://bit.ly/OPbrandFB,@TheOaklandPress,https://twitter.com/TheOaklandPress,,D,D,JRC,"Pontiac, MI",small_blue,42.639081,-83.294608
85,The Record,http://Troyrecord.com,"501 Broadway, Troy, NY 12180",501 Broadway,,Troy,NY,12180,NEW YORK,http://www.facebook.com/troyrecord,@TroyRecord,https://twitter.com/troyrecord,,D,D,JRC,"Troy, NY",small_blue,42.7309548,-73.6877169
92,The Reporter ,http://www.thereporter.com,"916 Cotting Lane, Vacaville, CA 95688",916 Cotting Lane,,Vacaville,CA,95688,NORCAL - Northern California,http://www.facebook.com/thereporter?fref=ts,@vacareporter,https://twitter.com/vacareporter,,D,D,MNG,,small_blue,38.395761,-121.953658
111,The Reporter,http://Thereporteronline.com,"307 Derstine Ave., Lansdale, PA 19446",307 Derstine Ave.,,Lansdale,PA,19446,PENNSYLVANIA,http://www.facebook.com/lansreporter,@lansreporter,https://twitter.com/LansReporter,,D,D,JRC,"Lansdale, PA",small_blue,40.242788,-75.287631
46,The Sun,http://www.sbsun.com/,"4030 North Georgia Blvd, San Bernardino, CA 92407",4030 North Georgia Blvd,,San Bernardino,CA,92407,LANG - Los Angeles News Group,http://www.facebook.com/sbsun?fref=ts,@sbsun,https://twitter.com/sbsun,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/CA_TS.jpg,D,D,MNG,"SAN BERNARDINO, CA",small_blue,34.162375,-117.338341
103,The Ukiah Daily Journal,http://www.ukiahdailyjournal.com/,"590 South School St., Ukiah, CA 95482",590 South School St.,,Ukiah,CA,95482,NORCAL - Northern California,http://www.facebook.com/pages/The-Ukiah-Daily-Journal/79374461327?ref=ts&fref=ts,@UDJnews,https://twitter.com/UDJnews,,D,D,MNG,"Ukiah, CA",small_blue,39.14564,-123.208215
120,The York Dispatch,http://www.yorkdispatch.com/,"205 N. George St., York, PA 17401",205 N. George St.,,York,PA,17401,PENNSYLVANIA,https://www.facebook.com/YorkDispatch,@YorkDispatch,https://twitter.com/YorkDispatch,http://webmedia.newseum.org/newseum-multimedia/dfp/jpg15/lg/PA_YD.jpg,D,D,MNG,"York, PA",small_blue,39.965508,-76.728635
