Id,Label,Alexa Rank,Location,Number of Out Links,Number of In Links,Weights of Out Links,Weights of In links,Diff Weights,Weights of Self links,PageRank
14172972,phillyist.com,5868281,Pennsylvania,51,13,6320,7953,1633,18958,0.00019541353529121757
14172985,phillymag.com,15522,Pennsylvania,9,41,9,5116,5107,617151,0.000107807490878852
14180979,piadvance.com,1013678,Michigan,0,1,0,1,1,5032,6.43485478304114e-05
14201353,plainsman.com,2234796,South Dakota,1,4,1,4,3,3,6.591356461138147e-05
14201370,plaintalk.net,1095509,South Dakota,0,2,0,2,2,23202,6.441727490879378e-05
14203784,planostar.com,12235214,Texas,3,1,66562,1,-66561,10179,6.45194306613829e-05
14211520,plvwtelco.net,15220376,Nebraska,3,0,15,0,-15,179,6.433931726061239e-05
14214067,pntonline.com,1967168,New Mexico,5,11,3384,2759,-625,56566,0.00039759639970449943
14236607,postsouth.com,2006723,Louisiana,20,7,3968,2055,-1913,19804,0.00029860874824586605
14237598,pottsmerc.com,112644,Pennsylvania,7,19,26148,62539,36391,86593,0.0007189576943983277
14249107,pressmart.com,86603,Alexa Top 500,2,2,2,5,3,3630,7.822243817477005e-05
14249192,presspubs.com,519808,Minnesota,1,0,1,0,-1,2216,6.433931726061239e-05
14301208,qsaltlake.com,4363838,Utah,3,2,4,8,4,25880,6.807636214311162e-05
14317854,radioiowa.com,1030322,Iowa,12,12,45,125,80,125365,0.00011020705044524073
14349085,recordnet.com,156975,California,0,9,0,214,214,1082,8.164947203743594e-05
14349092,recordpub.com,445503,Ohio,38,26,2616,3522,906,119889,0.0003706906401106984
14355741,reflector.com,170608,North Carolina,12,10,33,13,-20,182488,6.578806993004777e-05
14391343,ripleybee.com,9448296,Ohio,0,3,0,5,5,6,6.436297566587774e-05
14404657,rockawave.com,1542706,New York,0,9,0,21,21,402,6.584706197005453e-05
14454295,sacurrent.com,131198,Texas,4,13,6,69,63,14808,0.00011086221973425783
14464095,salemnews.com,154502,Massachusetts,6,32,19404,23241,3837,648820,0.0005466601902891328
14464096,salemnews.net,822926,Ohio,0,5,0,7,7,11000,0.00012330177209586828
14471339,samoanews.com,751035,US Territories,0,5,0,6,6,3,6.578272166718008e-05
14478613,santafean.com,2717320,New Mexico,0,3,0,6,6,14,6.509054618562822e-05
14517820,seattlepi.com,5087,Washington,112,144,946,1066,120,5298659,0.0002822977813705466
14517828,seattlest.com,1189321,Washington,37,22,72219,535,-71684,183157,7.66309717178137e-05
14532688,sent-trib.com,2325260,Ohio,0,4,0,6,6,6380,6.451523155513793e-05
14550751,sfbayview.com,174991,California,79,10,10154,43,-10111,480485,6.821693287167911e-05
14585242,siammedia.org,1491387,California,0,2,0,4,4,261,6.438663407114309e-05
14588661,sierrasun.com,6760074,California,7,12,17086,22133,5047,86476,0.0002455158180322658
14684899,spokesman.com,24065,Alexa Top 500,205,64,48747,517,-48230,6491527,0.00016947386590131336
14696921,ssentinel.com,804974,Virginia,2,3,235,8,-227,46317,0.00013553522875572353
14708862,statenews.com,350141,Michigan,26,28,57,246,189,519012,0.00017799419050796965
14708925,statesman.com,18035,Texas,221,143,260126,22913,-237213,6423754,0.00034965865685073123
14726558,stormlake.com,5686877,Iowa,1,2,3,17,14,758,6.437984286168123e-05
14752146,sunherald.com,93313,Mississipi,27,25,73,80,7,55068,9.311591736959593e-05
14776376,swvatoday.com,492438,Virginia,6,4,6131,9095,2964,22726,8.419129165266217e-05
14817404,tbnweekly.com,326747,Florida,1,9,1,40,39,110152,6.504542163968256e-05
14819714,tcnewsnet.com,4848379,Ohio,0,2,0,168,168,8,6.436817293154508e-05
14862237,theage.com.au,2075,Alexa Top 500,127,115,412669,282560,-130109,12030218,0.0012828900284176333
14863377,thebeacon.net,1482186,Ohio,1,2,1,3,2,7289,6.437740350134408e-05
14867948,thegridto.com,76857,Alexa Top 500,0,7,0,21709,21709,1315,0.00045219429262693175
14868868,theimnews.com,3144079,California,0,3,0,4,4,60,6.51078041802241e-05
14869162,thejambar.com,5034454,Ohio,0,6,0,10,10,3525,6.652735701560375e-05
14869489,thekansan.com,1131253,Kansas,12,10,12651,3667,-8984,97714,0.00037925167462170284
14870029,theledger.com,52954,Florida,5,30,53589,21041,-32548,4570436,0.0005485923761851759
14874366,theranger.org,1710164,Texas,3,3,25,6,-19,3735,6.514866873608787e-05
14874594,thereader.com,1209781,Nebraska,2,5,7,7,0,12467,6.486337611783457e-05
14875490,thermopir.com,6504927,Wyoming,0,2,0,2,2,0,6.436297566587774e-05
14877539,thetartan.org,709418,Pennsylvania,34,14,93,17,-76,133718,6.552889537097345e-05
14892036,timberjay.com,12099450,Minnesota,0,4,0,5,5,14487,6.446907439256266e-05
14893453,timescall.com,134288,Colorado,13,23,1014,6035,5021,8901,0.000787802333210112
14893553,timesnews.net,95795,Tennessee,14,13,368,151,-217,11015,0.0004950439005305758
14953979,triadpubs.biz,8078796,Wisconsin,0,2,0,2,2,4,6.436297566587774e-05
14954701,tribtoday.com,533965,Ohio,1,7,2,13,11,24221,6.611234005477604e-05
14954732,tribunact.com,5221328,Connecticut,1,2,2,7,5,49821,6.442472031187477e-05
14954910,tricities.com,86638,Tennessee,9,20,54558,3165,-51393,668066,0.00011406168534849999
15012596,uncmirror.com,6862515,Colorado,1,2,9,3,-6,3413,6.437220623567674e-05
15034065,usqiaobao.com,47676,New York,0,2,0,3,3,2,6.437740350134408e-05
15039302,uwrfvoice.com,6721502,Wisconsin,2,3,686,3,-683,10361,6.443170274426013e-05
15039359,uwtledger.com,8447834,Washington,0,2,0,4,4,1708,6.438663407114309e-05
15042866,vagazette.com,742261,Virginia,1,0,25,0,-25,6,6.433931726061239e-05
15043282,vaildaily.com,168915,Colorado,31,40,105202,37866,-67336,714916,0.00032092044049830313
15098365,vivelohoy.com,64697,California,16,7,34,4075,4041,2874,0.00010432065779129781
15104800,voicenews.com,685745,Michigan,3,11,12,7001,6989,4,0.000886655704409816
15104948,voicesweb.org,1320440,Pennsylvania,39,3,118,8,-110,32120,6.440297449389514e-05
15126930,waltonsun.com,1016919,Florida,12,14,17746,19647,1901,55027,0.0004903727528693727
15138763,wbjournal.com,667593,Massachusetts,2,6,92,962,870,10788,0.0001292181725875927
15139484,wcgazette.com,13590861,Washington,0,3,0,3608,3608,157,7.504367652572527e-05
15139734,wcoutlook.com,3376407,Kentucky,2,3,670,3135,2465,4251,0.00042850752391512895
15166512,westernsun.us,8250565,California,0,2,0,4,4,8629,6.438143680547575e-05
15191793,wisfarmer.com,2061742,Wisconsin,0,2,0,3,3,4452,6.437740350134408e-05
15216148,wvgazette.com,80655,West Virginia,3,54,15,158,143,122652,0.00014861923385061615
15220485,wylienews.com,3736143,Texas,4,6,36,45,9,23,0.0005406927862990194
15278835,yesweekly.com,770113,North Carolina,0,7,0,106,106,422367,0.00012780300138012215
15518813,abcnews.go.com,305,Alexa Top 500,227,243,8903,9733,830,414107,0.0015324339975948936
15521422,abilene-rc.com,1638305,Kansas,0,2,0,2,2,1283,6.436297566587774e-05
15524416,abqjournal.com,42774,New Mexico,24,47,1405,1472,67,552777,0.0003978736070151645
15622605,alliednews.com,2264866,Pennsylvania,1,2,1,2,1,6509,6.436297566587774e-05
15636713,altustimes.com,2270352,Oklahoma,9,9,10,9,-1,136770,0.00023715451599954187
15648491,amitetoday.com,21287984,Louisiana,2,2,49,3,-46,3206,6.437220623567674e-05
15709281,ardmoreite.com,494314,Oklahoma,10,2,828,2,-826,47345,6.436297566587774e-05
15747402,aspentimes.com,114723,Colorado,12,39,106417,37308,-69109,620009,0.0003204544413857339
15753778,asurampage.com,3529651,Texas,0,3,0,5,5,1912,6.445536114952547e-05
15758138,athensnews.com,324585,Ohio,20,11,35,25,-10,107712,6.591084546491873e-05
15811478,backbaysun.com,4417525,Massachusetts,0,6,0,1343,1343,1182,0.0001334339797487197
15847197,baywindows.com,362854,Massachusetts,1,4,1,6,5,2377,6.494097300150108e-05
15868263,bedfordnow.com,5607138,Michigan,0,2,0,334,334,25,0.0001221299016556394
15879020,bendweekly.com,18167035,Oregon,1,3,1,5,4,359,6.440531989529435e-05
15897261,beverlybee.com,12679243,New Jersey,0,1,0,3,3,0,6.43670089700094e-05
15931703,bizmonthly.com,1848933,Maryland,0,3,0,3,3,16318,6.442894522419987e-05
15978638,boernestar.com,288472,Texas,0,2,0,3,3,1,6.437740350134408e-05
15981695,bolivarcom.com,224444,Mississipi,0,9,0,12,12,3388,0.00015757737360926622
16032154,buchtelite.com,2637637,Ohio,0,4,0,7,7,204,6.543066093785175e-05
16071952,calgarysun.com,48480,Alexa Top 500,4,16,4,30,26,327307,6.887664326605247e-05
16099992,carmitimes.com,1088168,Illinois,4,3,816,747,-69,8006,0.0001158821982337177
16122160,cbsatlanta.com,134545,Georgia,14,14,1115,147,-968,56560,6.77651361098406e-05
16131881,cedarcrest.edu,1000142,Pennsylvania,4,5,5,28,23,23951,6.482008418438957e-05
16136776,cenlafocus.com,4917711,Louisiana,0,2,0,4,4,9733,6.438663407114309e-05
16145344,cfpmidweek.com,12059413,Missouri,0,3,0,52,52,64,6.436297566587774e-05
16146884,cgsentinel.com,2023214,Oregon,1,3,1,3,2,3,6.491627626811247e-05
16153490,charkoosta.com,3325142,Montana,1,2,6,2,-4,8050,6.441727490879378e-05
16161754,chelseanow.com,447932,New York,3,0,48,0,-48,3,6.433931726061239e-05
16167364,chicagoist.com,30554,Illinois,39,45,102825,145427,42602,264355,0.0013306905866758514
16167399,chicagomag.com,35918,Illinois,6,46,47,11670,11623,245,0.00014912800468563892
16184560,chroniclet.com,1929045,Ohio,1,8,1,175,174,572,7.825302640355985e-05
16184641,chronogram.com,305845,New York,5,4,10,111,101,85338,6.445458508840777e-05
16191901,cincinnati.com,14472,Ohio,102,37,131112,1303330,1172218,522011,0.0007301183951600265
16200165,cityweekly.net,106485,Utah,35,11,118,31,-87,1067336,6.987605460428037e-05
16200191,citywire.co.uk,57443,Alexa Top 500,2,5,4,19,15,131916,0.00023089931262043102
16210651,clevescene.com,63374,Ohio,51,20,989,119,-870,48076,8.590097118209984e-05
16231598,cobbonline.com,3223039,Georgia,38,2,906,2367,1461,12748,0.0002264800329643686
16242303,coloradoan.com,36123,Colorado,5,48,1508,13647,12139,64830,0.0003843860987718381
16270547,cornellsun.com,134213,New York,41,24,186,97,-89,464777,8.679568775891621e-05
16312640,cumberlink.com,199613,Pennsylvania,0,1,0,1,1,147,6.6375211060708e-05
16314910,currypilot.com,441686,Oregon,4,6,11,79,68,30559,8.713622604696939e-05
16334961,daily-jeff.com,480131,Ohio,10,12,10902,1066,-9836,111187,0.0002516451432945934
16335191,dailycomet.com,352855,Louisiana,10,9,232258,31617,-200641,1294938,0.0004794182061934648
16335432,dailyiowan.com,249640,Iowa,4,16,4,33,29,38982,8.29847164143034e-05
16335474,dailylocal.com,150056,Pennsylvania,7,21,15504,38745,23241,41238,0.0006046779767990578
16335633,dailypress.com,32077,Virginia,47,65,109273,128387,19114,1028851,0.0011344174149804595
16335634,dailypress.net,154325,Michigan,4,11,4,16,12,9616,7.098921000639164e-05
16335865,dailyunion.com,1252212,Wisconsin,1,3,4,3,-1,7,6.461420340621814e-05
16335913,dailyworld.com,997089,Louisiana,7,9,585,199,-386,5626,0.0002787141443268367
16338953,dallasnews.com,4012,Texas,9,104,15,13823,13808,242320,0.0003497037737103904
16366462,dawsonnews.com,2857567,Georgia,4,4,216,3839,3623,11239,0.00013373621841552302
16370957,dchieftain.com,2578740,New Mexico,0,4,0,586,586,4243,7.188452420024231e-05
16371307,dcmilitary.com,758053,District of Columbia,4,9,102,2375,2273,58616,0.0005271618052736213
16390062,delcotimes.com,145877,Pennsylvania,10,25,22708,101094,78386,78618,0.0008798930760648526
16390473,delgazette.com,347365,Ohio,5,5,5,7,2,5805,0.000170476963843249
16398308,denisonian.com,3091598,Ohio,0,2,0,3,3,60,6.5329044884405e-05
16400987,denverpost.com,4033,Colorado,14,219,44371,11260,-33111,375549,0.0017587055005602208
16461960,dmcityview.com,1298079,Iowa,72,8,439,42,-397,77880,8.36172511996722e-05
16502500,drexelstar.com,6965534,Missouri,1,3,802,3427,2625,23792,6.436297566587774e-05
16553818,echo-pilot.com,2508884,Pennsylvania,14,2,681,4,-677,21013,6.438143680547575e-05
16560478,ecprogress.com,2683792,Utah,3,4,3,4,1,0,6.441727490879377e-05
16586408,eldiariony.com,25837,New York,3,10,714,15171,14457,11508,0.0006633854344498341
16590921,elexpresso.com,1368448,US Territories,0,2,0,3,3,4076,6.437740350134407e-05
16598018,elnuevodia.com,5336,US Territories,2,11,3660,3843,183,217698,0.0007103900539927086
16601045,elvocerous.com,3008827,Michigan,1,2,868,3,-865,42259,6.437220623567674e-05
16608344,emorywheel.com,678400,Georgia,0,6,0,9,9,216,6.526599602540672e-05
16642114,erstarnews.com,3787367,Minnesota,1,3,2,843,841,5895,0.00012284346856104001
16658622,eudoranews.com,3427761,Kansas,7,10,55870,56563,693,305263,0.0003943642904795254
16668098,eveningsun.com,358037,Pennsylvania,2,15,3104,257,-2847,99809,0.00010453354783422571
16772140,flyergroup.com,1035186,Indiana,11,6,12,2426,2414,64124,7.109847346761366e-05
16786312,forksforum.com,6670839,Washington,2,6,3,16,13,896,9.421763219784642e-05
16813306,free-times.com,340188,South Carolina,1,7,2,7,5,9,6.585208996129586e-05
16845468,fwbusiness.com,1477278,Indiana,1,3,35,4,-31,372,0.00020472413369705317
16852711,gadcotimes.com,10136085,Florida,0,3,0,3,3,6385,6.443170274426013e-05
16877628,gaylordhub.com,8523419,Minnesota,0,2,0,2,2,48600,6.436297566587774e-05
16878966,gazettenet.com,171122,Massachusetts,37,15,10918,84,-10834,206909,0.00012586790131988097
16881686,gctelegram.com,999632,Kansas,3,8,1847,149,-1698,74360,8.459334654392612e-05
16901004,getboulder.com,5251458,Colorado,1,2,174,3,-171,14383,6.437220623567674e-05
16919964,gjsentinel.com,200872,Colorado,25,32,37,12619,12582,330777,0.00010414190181413658
16935132,gobogalusa.com,426703,Louisiana,0,2,0,2,2,15,6.436297566587774e-05
16935775,godanriver.com,441834,North Carolina,8,12,6313,15224,8911,129592,0.00020272406814344105
16953333,goshennews.com,527066,Indiana,2,11,63,14,-49,92295,9.040029865099151e-05
16996339,guidrynews.com,2661597,Texas,0,2,0,3,3,2859,6.441261279268275e-05
17038305,hartington.net,13930286,Nebraska,0,2,0,2,2,10380,6.436297566587774e-05
17047347,hbgdiocese.org,2007509,Pennsylvania,1,1,7,5,-2,488,6.436890026701781e-05
17069553,heraldnews.com,251538,Massachusetts,17,17,43228,631,-42597,434729,9.331567825682424e-05
17087585,hippopress.com,872036,New Hampshire,0,7,0,10,10,61518,6.477831924071727e-05
17094784,hlrgazette.com,12477116,Texas,1,2,3,3,0,12621,6.437220623567674e-05
17109004,homenewspa.com,10854003,Pennsylvania,0,2,0,4,4,99,6.438143680547575e-05
17133819,houmatoday.com,289244,Louisiana,8,17,31627,232268,200641,1972272,0.0004874704964863139
17135637,houstonist.com,9243824,Texas,77,12,79812,6151,-73661,319102,0.00016647155112537687
17135713,houstonsun.com,7084884,Texas,0,2,0,4,4,496,6.438663407114309e-05
17179534,idahopress.com,241356,Idaho,5,0,32,0,-32,466,6.433931726061239e-05
17217314,indeonline.com,251279,Ohio,3,8,3487,226,-3261,98135,0.00014642426807832403
17217335,independent.ie,2583,Alexa Top 500,1,57,1,550,549,1737153,9.564684544179581e-05
17237675,inregister.com,4209559,Louisiana,1,4,2,354,352,4,0.00028082837550343564
17238796,insidenova.com,214235,Virginia,7,20,33838,19233,-14605,323757,0.00031904797188447745
17248669,inthisweek.com,14089477,Utah,0,1,0,2,2,0,6.43577784002104e-05
17278503,itemonline.com,785938,Texas,1,6,49,8,-41,38489,7.126666241493118e-05
17293126,jacksonsun.com,214112,Tennessee,7,12,1249,26,-1223,37488,0.00033777804530979336
17316059,jcfloridan.com,1319067,Florida,1,7,1,8,7,14853,6.459233351603469e-05
17368572,jordannews.com,4046998,Minnesota,6,9,9594,1927,-7667,51473,0.00042969060995301907
17371680,joshuastar.net,2319344,Texas,4,6,156,157,1,776,0.0004611706194442066
17372680,journalism.org,69361,Alexa Top 500,88,85,777,709,-68,88018,0.00020206114086331698
17372706,journalnow.com,46542,North Carolina,7,55,71288,20172,-51116,1073683,0.0006980164333633246
17415631,kansascity.com,8114,Missouri,33,75,220,968,748,124363,0.00028641384016974905
17446508,kennerstar.com,11801017,Louisiana,0,2,0,3,3,74,6.437220623567674e-05
17454129,keypennews.com,8448777,Washington,0,2,0,3,3,329,6.437220623567674e-05
17507259,koreatimes.com,40980,New York,0,4,0,22,22,20332,0.00011931229856718826
17531878,kurierplus.com,909849,New York,0,3,0,5,5,41,6.438780377373464e-05
17535407,kvdispatch.com,11181799,Virginia,0,1,0,1,1,7,6.43485478304114e-05
17540120,kystandard.com,2138065,Kentucky,1,1,1,1,0,17722,6.440804433899478e-05
17560987,lanereport.com,562116,Kentucky,2,0,24,0,-24,3502,6.433931726061239e-05
17561066,lanewslink.com,18464751,Louisiana,6,5,24,6,-18,81,0.00011999252183525719
17564682,lapolitics.com,2606410,Louisiana,12,11,24,221,197,145,7.099936894582897e-05
17564942,laprensafl.com,465396,Florida,3,7,732,15204,14472,11433,0.0006889734260296593
17564946,laprensasa.com,233947,Texas,0,3,0,5,5,20,6.445260362946522e-05
17578548,lawrentian.com,18082737,Wisconsin,0,3,0,5,5,3066,6.487428396530621e-05
17580766,lbcommuter.com,3246341,Oregon,5,0,5,0,-5,6396,6.433931726061239e-05
17582542,lcsun-news.com,162388,New Mexico,12,35,47525,14184,-33341,290537,0.000293480721522783
17584614,leadercall.com,2999627,Mississipi,1,9,38,15,-23,81036,6.888566826029491e-05
17590308,ledgernews.com,964073,Georgia,0,4,0,7,7,7921,6.726750198804468e-05
17599319,lenconnect.com,523751,Michigan,37,10,149,1936,1787,189697,0.00011582145120689603
17600024,lennoxnews.com,8266719,South Dakota,0,2,0,3,3,3,6.442650547859279e-05
17611822,lexisnexis.com,9829,Alexa Top 500,75,52,177,158,-19,389738,0.00023369628895072468
17618664,licjournal.com,6059117,New York,9,12,24,28,4,3300,0.0003966352704777877
17627244,lillienews.com,891733,Minnesota,2,2,2,3,1,2,0.00018647318578445665
17657194,localkicks.com,2728831,Virginia,13,4,25,6,-19,53087,6.456749118489994e-05
17657289,localnews8.com,128723,Idaho,6,4,1711,24,-1687,21526,8.617045304681864e-05
17696000,luskherald.com,5372702,Wyoming,2,3,3,4,1,3,6.444613057972647e-05
17732592,mainetoday.com,151645,Maine,7,4,5815,65,-5750,109494,6.576448693124455e-05
17763152,marionstar.com,223621,Ohio,14,16,3358,9863,6505,13312,0.0009121763896611976
17790335,mauiweekly.com,1173603,Hawaii,2,1,104,1,-103,6540,6.614541355323076e-05
17806433,mdislander.com,2898561,Maine,1,1,1,1,0,3,6.440804433899478e-05
17839641,metafilter.com,2996,Alexa Top 500,764,62,221258,413,-220845,5763574,0.0001393189360753334
17844278,metropulse.com,479879,Tennessee,4,27,21,87,66,297106,8.224595186133706e-05
17844448,metrotimes.com,67697,Michigan,5,9,11,101,90,33470,6.85232794265143e-05
17851841,mibulletin.org,12260165,Michigan,0,1,0,2,2,3154,6.43577784002104e-05
17883862,missoulian.com,64428,Montana,0,4,0,3609,3609,29,7.507257368321724e-05
17918741,monroenews.com,197404,Michigan,1,7,331,10,-321,336,6.795624332180633e-05
17927206,morningsun.net,552234,Kansas,15,19,126,5987,5861,133975,0.00032439496138239935
17948023,msbusiness.com,236360,Mississipi,18,5,1426,3168,1742,777096,0.0001478743044803765
17951717,mtairynews.com,510305,North Carolina,2,6,2,7,5,83893,0.0001712088103661
17971728,mvdemocrat.com,7791097,Indiana,2,1,2,2,0,13483,6.43577784002104e-05
17972195,mvprogress.com,1099332,Nevada,3,1,1195,1,-1194,22573,6.43485478304114e-05
17980487,myeldorado.net,1196751,Texas,10,6,56,10,-46,2615,6.463166543086961e-05
17988910,myrjonline.com,8163329,Wisconsin,1,2,4,2,-2,8,6.436297566587774e-05
17990341,mysouthend.com,3479444,Massachusetts,0,4,0,7,7,3,7.079525891995902e-05
17993469,mywebtimes.com,274962,Illinois,4,8,287,1085,798,1206,0.00023755384382868636
18008151,naplesnews.com,36549,Florida,116,77,89755,111596,21841,6648229,0.0010371097115561998
18019789,nbcchicago.com,8429,Illinois,199,68,23204,12949,-10255,1252958,0.0005191170891704817
18048385,news-daily.com,903509,Georgia,0,4,0,6,6,7013,6.613970294641822e-05
18048486,news-press.com,48677,Florida,8,31,10216,398,-9818,269841,0.000302680454555125
18051307,newsherald.com,174937,Florida,14,36,43212,18044,-25168,152087,0.0005481348879647988
18051491,newsleader.com,146832,Virginia,6,8,1168,16,-1152,39156,0.00026600230299786106
18051572,newsmeback.com,11051,Alexa Top 500,14,2,52,3,-49,15315,6.474018757579792e-05
18051896,newsrecord.org,1400000,Ohio,0,8,0,10,10,11650,6.733796799500275e-05
18052686,newtownbee.com,286743,Connecticut,0,4,0,6,6,1487,6.54609567417927e-05
18057952,nhregister.com,41582,Connecticut,11,49,9904,6665,-3239,207374,0.0009331380972046384
18092069,nossagente.net,1037700,Florida,0,2,0,2,2,2004,6.436297566587774e-05
18105170,nuggetnews.com,1825406,Oregon,0,3,0,4,4,23277,6.438706951482076e-05
18110436,nwexaminer.com,12161823,Oregon,0,3,0,4,4,31,6.437878013809743e-05
18110746,nwobserver.com,20978199,North Carolina,0,2,0,5,5,1,6.439066737527475e-05
18121987,oceandrive.com,226423,Florida,0,8,0,11,11,3557,6.70938478699122e-05
18123618,ocregister.com,7567,California,96,139,39980,6752,-33228,1497230,0.0006457288013117408
18123690,ocsentinel.com,7778397,New Jersey,0,1,0,2,2,161,6.43577784002104e-05
18160248,onthemedia.org,58240,Alexa Top 500,59,56,308,32403,32095,38878,0.0006642032423222446
18173488,oregonlive.com,3498,Oregon,235,158,66693,6385,-60308,3196442,0.001164167019949535
18177956,orovillemr.com,890844,California,1,10,1,48,47,44306,6.805064964738397e-05
18187533,otterrealm.net,572072,California,0,2,0,3,3,8220,6.437220623567674e-05
18201300,pacertimes.com,12162160,South Carolina,0,2,0,2,2,2348,6.436297566587774e-05
18201900,pacificsun.com,586941,California,0,6,0,9,9,244,6.480534881492009e-05
18203929,paducahsun.com,2609108,Kentucky,0,7,0,8,8,5451,9.954717794933252e-05
18223824,parkrecord.com,110514,Utah,0,12,0,21,21,37371,6.744141968422695e-05
18225475,parsonssun.com,791007,Kansas,1,8,3,114,111,4,0.0006836770784338502
18253956,pekintimes.com,853526,Illinois,13,4,66,6,-60,60529,6.509564845447126e-05
18280340,phillytrib.com,891793,Pennsylvania,0,6,0,61,61,4686,0.00014871974363571842
18291907,picketnews.com,20810832,Maryland,0,2,0,3,3,157,6.437220623567674e-05
18312779,plamerican.com,652536,Minnesota,6,9,762,3401,2639,4713,0.0004297743213456872
18323234,plumasnews.com,726106,California,0,2,0,2,2,3799,6.436297566587774e-05
18328232,pocononews.net,4529019,Pennsylvania,1,2,19,2,-17,1242,8.838386601701164e-05
18336248,polishnews.com,2214764,Illinois,0,3,0,4,4,5,6.437276547803355e-05
18340639,pontealdia.com,1397303,Pennsylvania,0,2,0,3,3,7,6.437220623567674e-05
18376003,prnewswire.com,1880,Alexa Top 500,165,150,968,5074,4106,1499755,0.0006396340761426889
18406740,pulselegal.com,14603436,Missouri,0,2,0,4,4,0,6.438663407114307e-05
18438823,racinenews.org,16559911,Wisconsin,0,1,0,2,2,0,6.436817293154508e-05
18464939,raynetoday.com,15151675,Louisiana,4,2,51,2,-49,2816,6.436297566587774e-05
18466651,rblandmark.com,699341,Illinois,3,3,12,1203,1191,7,0.0001070448797389575
18471413,readthebee.com,11349060,Oregon,3,2,8,3,-5,57,6.437220623567674e-05
18477798,record-bee.com,207241,California,0,4,0,28,28,62555,6.579334867371624e-05
18526604,riponpress.com,1681540,Wisconsin,1,2,4,2,-2,2,6.436297566587774e-05
18530172,rivertowns.net,2338410,Wisconsin,12,4,305,5,-300,4911,0.00010050975529023526
18537865,robesonian.com,720160,North Carolina,6,7,6,17,11,17008,0.00016267289119199262
18596716,sactownmag.com,692501,California,0,4,0,8,8,140,6.610481183230112e-05
18607460,salem-news.com,125836,Oregon,104,41,535,156,-379,369229,7.357048558207572e-05
18629298,saratogian.com,247636,New York,3,19,2883,2434,-449,66983,0.0005916521405886854
18634919,saukherald.com,5700495,Minnesota,0,4,0,4,4,65,6.747543253063543e-05
18634925,saukvalley.com,237147,Illinois,20,4,3706,201,-3505,188175,0.00048561306385137365
18642062,scadvocate.com,14681034,Tennessee,0,2,0,5,5,413,6.439066737527475e-05
18660281,scsun-news.com,743871,New Mexico,8,15,10384,19817,9433,31628,0.0003169511914421873
18660283,scsuntimes.com,1672694,Delaware,14,7,6434,1619,-4815,61729,0.00014510875928239932
18662100,sdcitybeat.com,179554,California,17,19,35,3213,3178,259856,0.00018131780454176658
18669077,seattlemag.com,114221,Washington,5,9,7,357,350,8031,0.00013187688481717182
18681519,semananews.com,1319255,Texas,0,2,0,4,4,8424,6.438663407114309e-05
18706554,sfreporter.com,315241,New Mexico,49,14,149,136,-13,279921,9.417851142692539e-05
18708759,sgvtribune.com,103375,California,8,21,22,368,346,326959,0.00024359848132097595
18719564,shelbystar.com,379222,North Carolina,5,16,10950,6461,-4489,208093,0.00028198868726707143
18729407,shobannews.com,14052177,Idaho,0,2,0,19,19,198,6.494699449518577e-05
18738561,shortnorth.com,7558767,Ohio,1,4,1,7,6,2022,6.468808935567674e-05
18748499,sierrastar.com,1221639,California,3,7,2693,3514,821,43703,0.00020391661799859883
18754261,silsbeebee.com,13689105,Texas,1,2,127,2,-125,1028,6.436297566587774e-05
18763078,singtaousa.com,700508,California,0,4,0,11,11,48,6.447610885063559e-05
18794486,smartbrief.com,8043,Alexa Top 500,96,7,489,18,-471,17896,7.872948814063692e-05
18827937,sonomanews.com,188825,California,0,5,0,11,11,9350,6.477655335772855e-05
18836012,sourcenews.com,20555395,Ohio,0,5,0,8,8,0,0.000127636557461097
18836117,sourcewire.com,93371,Alexa Top 500,2,0,4,0,-4,4866,6.433931726061239e-05
18877628,starbeacon.com,323230,Ohio,1,9,23,15,-8,210549,0.00012218452887713518
18878565,starherald.com,447237,Nebraska,1,2,1,2,1,7,6.433931726061239e-05
18878566,starherald.net,7862559,Mississipi,1,3,1,3,2,19263,6.443170274426013e-05
18905525,stowetoday.com,722563,Vermont,0,3,0,3,3,9,6.441727490879378e-05
18905545,stowsentry.com,1104375,Ohio,10,8,16,11,-5,2,7.664764813018198e-05
18907742,strausnews.com,1577013,New Jersey,0,6,0,7,7,2395,6.449912533390448e-05
18933652,sungazette.com,423637,Pennsylvania,3,6,3,10,7,13988,0.00010412885111328521
18934080,sunjournal.com,104814,Maine,63,28,34135,113,-34022,579401,0.00010689326732185115
19007519,tcnjsignal.net,666097,New Jersey,0,1,0,4,4,13002,6.437623953980841e-05
19016404,techetoday.com,3495983,Louisiana,4,3,44,3,-41,2233,6.43918728233697e-05
19033763,tennessean.com,15167,Tennessee,8,99,3681,8151,4470,183991,0.0008258398078999563
19051946,the-leader.com,371797,New York,15,11,67,1725,1658,70268,0.00022692817200868862
19052082,the-mirror.org,13607718,Missouri,1,2,2,2,0,513,6.436297566587774e-05
19052534,the-signal.com,3986156,California,1,9,1,13,12,206124,0.00012212014148547172
19055396,thebayonet.com,2028702,Georgia,0,3,0,3,3,2,6.47036664000255e-05
19058164,thecitizen.com,187809,Georgia,4,4,4,5,1,5751,6.516786388246487e-05
19058383,thecoaster.net,8832410,New Jersey,0,1,0,2,2,16089,6.435379129965583e-05
19058763,thecourier.com,187169,Ohio,0,7,0,13,13,238,0.0002365680484637687
